capability_id,module,block,source_key,projection,projection_id,semantic_role,line_start,line_end,a2_role,a2_confidence
CAP.FRAMING_REGRESSION_DETECTION,16,late_arrival_test,ask,SCHEMA,SCHEMA.M16.LATE_ARRIVAL_TEST.ASK,unknown_ask_role,141,145,unordered_probe,high
CAP.FRAMING_REGRESSION_DETECTION,16,late_arrival_test,rule,RULE,RULE.M16.LATE_ARRIVAL_TEST.RULE,unresolved_rule,146,146,literal_implication,high
CAP.CHAIN_TRACING,4,transmission_chain,@block,SCHEMA,SRCFRAG.M04.TRANSMISSION_CHAIN,source_fragment,4,7,,
CAP.CHAIN_TRACING,4,transmission_chain,chain,SCHEMA,SCHEMA.M04.TRANSMISSION_CHAIN.CHAIN,source_field,5,5,,
CAP.CHAIN_TRACING,4,transmission_chain,rule,RULE,RULE.M04.TRANSMISSION_CHAIN.RULE,unresolved_rule,6,6,compound_unresolved,unresolved
CAP.CHAIN_TRACING,4,documentary_transmission,@block,SCHEMA,SRCFRAG.M04.DOCUMENTARY_TRANSMISSION,source_fragment,17,20,,
CAP.CHAIN_TRACING,4,documentary_transmission,chain,SCHEMA,SCHEMA.M04.DOCUMENTARY_TRANSMISSION.CHAIN,source_field,18,18,,
CAP.CHAIN_TRACING,4,documentary_transmission,rule,RULE,RULE.M04.DOCUMENTARY_TRANSMISSION.RULE,unresolved_rule,19,19,atomic_rule,high
CAP.CHAIN_TRACING,16,source_passport,@block,SCHEMA,SRCFRAG.M16.SOURCE_PASSPORT,source_fragment,13,31,,
CAP.CHAIN_TRACING,16,source_passport,fields,SCHEMA,SCHEMA.M16.SOURCE_PASSPORT.FIELDS,declared_structure,14,29,,
CAP.CHAIN_TRACING,16,source_passport,rule,RULE,RULE.M16.SOURCE_PASSPORT.RULE,unresolved_rule,30,30,literal_implication,high
CAP.CHAIN_TRACING,16,source_family_map,@block,SCHEMA,SRCFRAG.M16.SOURCE_FAMILY_MAP,source_fragment,42,54,,
CAP.CHAIN_TRACING,16,source_family_map,families,SCHEMA,SCHEMA.M16.SOURCE_FAMILY_MAP.FAMILIES,source_field,43,52,,
CAP.CHAIN_TRACING,16,source_family_map,rule,RULE,RULE.M16.SOURCE_FAMILY_MAP.RULE,unresolved_rule,53,53,atomic_rule,high
CAP.CHAIN_TRACING,17,structural_power,@block,SCHEMA,SRCFRAG.M17.STRUCTURAL_POWER,source_fragment,5,13,,
CAP.CHAIN_TRACING,17,structural_power,definition,SCHEMA,SCHEMA.M17.STRUCTURAL_POWER.DEFINITION,source_field,6,6,,
CAP.CHAIN_TRACING,17,structural_power,rules[0],RULE,RULE.M17.STRUCTURAL_POWER.RULES_01,unresolved_rule,7,12,atomic_rule,high
CAP.CHAIN_TRACING,17,structural_power,rules[1],RULE,RULE.M17.STRUCTURAL_POWER.RULES_02,unresolved_rule,7,12,atomic_rule,high
CAP.CHAIN_TRACING,17,structural_power,rules[2],RULE,RULE.M17.STRUCTURAL_POWER.RULES_03,unresolved_rule,7,12,atomic_rule,high
CAP.CHAIN_TRACING,17,structural_power,rules[3],RULE,RULE.M17.STRUCTURAL_POWER.RULES_04,unresolved_rule,7,12,atomic_rule,high
CAP.CHAIN_TRACING,17,extraction_map,@block,SCHEMA,SRCFRAG.M17.EXTRACTION_MAP,source_fragment,29,41,,
CAP.CHAIN_TRACING,17,extraction_map,ask,SCHEMA,SCHEMA.M17.EXTRACTION_MAP.ASK,unknown_ask_role,30,39,unordered_probe,high
CAP.CHAIN_TRACING,17,extraction_map,rule,RULE,RULE.M17.EXTRACTION_MAP.RULE,unresolved_rule,40,40,atomic_rule,high
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,14,distributed_memory,@block,SCHEMA,SRCFRAG.M14.DISTRIBUTED_MEMORY,source_fragment,41,49,,
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,14,distributed_memory,forms,SCHEMA,SCHEMA.M14.DISTRIBUTED_MEMORY.FORMS,declared_structure,42,42,,
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,14,distributed_memory,rules[0],RULE,RULE.M14.DISTRIBUTED_MEMORY.RULES_01,unresolved_rule,43,48,atomic_rule,high
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,14,distributed_memory,rules[1],RULE,RULE.M14.DISTRIBUTED_MEMORY.RULES_02,unresolved_rule,43,48,atomic_rule,high
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,14,distributed_memory,rules[2],RULE,RULE.M14.DISTRIBUTED_MEMORY.RULES_03,unresolved_rule,43,48,atomic_rule,high
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,14,distributed_memory,rules[3],RULE,RULE.M14.DISTRIBUTED_MEMORY.RULES_04,unresolved_rule,43,48,atomic_rule,high
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,15,distributed_memory,@block,SCHEMA,SRCFRAG.M15.DISTRIBUTED_MEMORY,source_fragment,41,50,,
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,15,distributed_memory,forms,SCHEMA,SCHEMA.M15.DISTRIBUTED_MEMORY.FORMS,declared_structure,42,42,,
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,15,distributed_memory,require,SCHEMA,SCHEMA.M15.DISTRIBUTED_MEMORY.REQUIRE,unknown_require_role,43,43,criteria,high
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,15,distributed_memory,rules[0],RULE,RULE.M15.DISTRIBUTED_MEMORY.RULES_01,unresolved_rule,44,49,atomic_rule,high
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,15,distributed_memory,rules[1],RULE,RULE.M15.DISTRIBUTED_MEMORY.RULES_02,unresolved_rule,44,49,atomic_rule,high
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,15,distributed_memory,rules[2],RULE,RULE.M15.DISTRIBUTED_MEMORY.RULES_03,unresolved_rule,44,49,atomic_rule,high
CAP.DISTRIBUTED_MEMORY_ASSESSMENT,15,distributed_memory,rules[3],RULE,RULE.M15.DISTRIBUTED_MEMORY.RULES_04,unresolved_rule,44,49,atomic_rule,high
CAP.REAL_TRANSFORMATION_ASSESSMENT,3,real_power_loss,@block,SCHEMA,SRCFRAG.M03.REAL_POWER_LOSS,source_fragment,79,81,,
CAP.REAL_TRANSFORMATION_ASSESSMENT,3,real_power_loss,rule,RULE,RULE.M03.REAL_POWER_LOSS.RULE,unresolved_rule,80,80,atomic_rule,high
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,real_delta,@block,SCHEMA,SRCFRAG.M05.REAL_DELTA,source_fragment,6,14,,
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,real_delta,formula,SCHEMA,SCHEMA.M05.REAL_DELTA.FORMULA,source_field,7,7,,
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,real_delta,rules[0],RULE,RULE.M05.REAL_DELTA.RULES_01,unresolved_rule,8,14,literal_implication,high
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,real_delta,rules[1],RULE,RULE.M05.REAL_DELTA.RULES_02,unresolved_rule,8,14,literal_implication,high
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,real_delta,rules[2],RULE,RULE.M05.REAL_DELTA.RULES_03,unresolved_rule,8,14,literal_implication,high
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,real_delta,rules[3],RULE,RULE.M05.REAL_DELTA.RULES_04,unresolved_rule,8,14,literal_implication,high
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,autonomous_capacity_gain,@block,SCHEMA,SRCFRAG.M05.AUTONOMOUS_CAPACITY_GAIN,source_fragment,48,62,,
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,autonomous_capacity_gain,include,SCHEMA,SCHEMA.M05.AUTONOMOUS_CAPACITY_GAIN.INCLUDE,source_field,49,60,,
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,autonomous_capacity_gain,rule,RULE,RULE.M05.AUTONOMOUS_CAPACITY_GAIN.RULE,unresolved_rule,61,61,atomic_rule,high
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,local_irreversibility,@block,SCHEMA,SRCFRAG.M05.LOCAL_IRREVERSIBILITY,source_fragment,64,80,,
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,local_irreversibility,fields,SCHEMA,SCHEMA.M05.LOCAL_IRREVERSIBILITY.FIELDS,declared_structure,65,75,,
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,local_irreversibility,rules[0],RULE,RULE.M05.LOCAL_IRREVERSIBILITY.RULES_01,unresolved_rule,76,80,atomic_rule,high
CAP.REAL_TRANSFORMATION_ASSESSMENT,5,local_irreversibility,rules[1],RULE,RULE.M05.LOCAL_IRREVERSIBILITY.RULES_02,unresolved_rule,76,80,atomic_rule,high
CAP.REAL_TRANSFORMATION_ASSESSMENT,17,real_transformation,@block,SCHEMA,SRCFRAG.M17.REAL_TRANSFORMATION,source_fragment,68,76,,
CAP.REAL_TRANSFORMATION_ASSESSMENT,17,real_transformation,ask,SCHEMA,SCHEMA.M17.REAL_TRANSFORMATION.ASK,unknown_ask_role,69,74,unordered_probe,high
CAP.REAL_TRANSFORMATION_ASSESSMENT,17,real_transformation,rule,RULE,RULE.M17.REAL_TRANSFORMATION.RULE,unresolved_rule,75,75,literal_implication,high
CAP.METHOD_EFFECT_AUDIT,2,measurement_effect,@block,SCHEMA,SRCFRAG.M02.MEASUREMENT_EFFECT,source_fragment,118,121,,
CAP.METHOD_EFFECT_AUDIT,2,measurement_effect,require,SCHEMA,SCHEMA.M02.MEASUREMENT_EFFECT.REQUIRE,unknown_require_role,119,119,criteria,high
CAP.METHOD_EFFECT_AUDIT,2,measurement_effect,rule,RULE,RULE.M02.MEASUREMENT_EFFECT.RULE,unresolved_rule,120,120,literal_implication,high
CAP.METHOD_EFFECT_AUDIT,9,blind_output_audit,@block,SCHEMA,SRCFRAG.M09.BLIND_OUTPUT_AUDIT,source_fragment,49,62,,
CAP.METHOD_EFFECT_AUDIT,9,blind_output_audit,ask,SCHEMA,SCHEMA.M09.BLIND_OUTPUT_AUDIT.ASK,unknown_ask_role,50,61,unordered_probe,high
CAP.METHOD_EFFECT_AUDIT,10,method_self_audit,@block,SCHEMA,SRCFRAG.M10.METHOD_SELF_AUDIT,source_fragment,124,135,,
CAP.METHOD_EFFECT_AUDIT,10,method_self_audit,ask,SCHEMA,SCHEMA.M10.METHOD_SELF_AUDIT.ASK,unknown_ask_role,125,134,unordered_probe,high
CAP.METHOD_EFFECT_AUDIT,12,self_modification_guard,@block,SCHEMA,SRCFRAG.M12.SELF_MODIFICATION_GUARD,source_fragment,67,77,,
CAP.METHOD_EFFECT_AUDIT,12,self_modification_guard,ask,SCHEMA,SCHEMA.M12.SELF_MODIFICATION_GUARD.ASK,unknown_ask_role,68,75,unordered_probe,high
CAP.METHOD_EFFECT_AUDIT,12,self_modification_guard,rule,RULE,RULE.M12.SELF_MODIFICATION_GUARD.RULE,unresolved_rule,76,76,literal_implication,high
CAP.METHOD_EFFECT_AUDIT,18,scene_life_gate,@block,SCHEMA,SRCFRAG.M18.SCENE_LIFE_GATE,source_fragment,26,42,,
CAP.METHOD_EFFECT_AUDIT,18,scene_life_gate,principle,SCHEMA,SCHEMA.M18.SCENE_LIFE_GATE.PRINCIPLE,source_field,27,27,,
CAP.METHOD_EFFECT_AUDIT,18,scene_life_gate,require,SCHEMA,SCHEMA.M18.SCENE_LIFE_GATE.REQUIRE,unknown_require_role,28,34,criteria,high
CAP.METHOD_EFFECT_AUDIT,18,scene_life_gate,rules[0],RULE,RULE.M18.SCENE_LIFE_GATE.RULES_01,unresolved_rule,35,42,atomic_rule,high
CAP.METHOD_EFFECT_AUDIT,18,scene_life_gate,rules[1],RULE,RULE.M18.SCENE_LIFE_GATE.RULES_02,unresolved_rule,35,42,literal_implication,high
CAP.METHOD_EFFECT_AUDIT,18,scene_life_gate,rules[2],RULE,RULE.M18.SCENE_LIFE_GATE.RULES_03,unresolved_rule,35,42,literal_implication,high
CAP.METHOD_EFFECT_AUDIT,18,scene_life_gate,rules[3],RULE,RULE.M18.SCENE_LIFE_GATE.RULES_04,unresolved_rule,35,42,atomic_rule,high
CAP.METHOD_EFFECT_AUDIT,18,scene_life_gate,rules[4],RULE,RULE.M18.SCENE_LIFE_GATE.RULES_05,unresolved_rule,35,42,atomic_rule,high
CAP.METHOD_EFFECT_AUDIT,18,draft_audit,@block,SCHEMA,SRCFRAG.M18.DRAFT_AUDIT,source_fragment,106,120,,
CAP.METHOD_EFFECT_AUDIT,18,draft_audit,ask,SCHEMA,SCHEMA.M18.DRAFT_AUDIT.ASK,unknown_ask_role,107,118,unordered_probe,high
CAP.METHOD_EFFECT_AUDIT,18,draft_audit,rule,RULE,RULE.M18.DRAFT_AUDIT.RULE,unresolved_rule,119,119,literal_implication,high
CAP.IDENTIFY_REVERSAL_CONDITION,2,hypothesis_must_lose,@block,SCHEMA,SRCFRAG.M02.HYPOTHESIS_MUST_LOSE,source_fragment,82,91,,
CAP.IDENTIFY_REVERSAL_CONDITION,2,hypothesis_must_lose,require,SCHEMA,SCHEMA.M02.HYPOTHESIS_MUST_LOSE.REQUIRE,unknown_require_role,83,89,criteria,high
CAP.IDENTIFY_REVERSAL_CONDITION,2,hypothesis_must_lose,rule,RULE,RULE.M02.HYPOTHESIS_MUST_LOSE.RULE,unresolved_rule,90,90,literal_implication,high
CAP.IDENTIFY_REVERSAL_CONDITION,10,real_drill,@block,SCHEMA,SRCFRAG.M10.REAL_DRILL,source_fragment,14,29,,
CAP.IDENTIFY_REVERSAL_CONDITION,10,real_drill,require,SCHEMA,SCHEMA.M10.REAL_DRILL.REQUIRE,unknown_require_role,15,27,criteria,high
CAP.IDENTIFY_REVERSAL_CONDITION,10,real_drill,rule,RULE,RULE.M10.REAL_DRILL.RULE,unresolved_rule,28,28,literal_implication,high
CAP.IDENTIFY_REVERSAL_CONDITION,10,structural_theory_drill,@block,SCHEMA,SRCFRAG.M10.STRUCTURAL_THEORY_DRILL,source_fragment,112,122,,
CAP.IDENTIFY_REVERSAL_CONDITION,10,structural_theory_drill,run,PROCEDURE,PROC.M10.STRUCTURAL_THEORY_DRILL.RUN,run_sequence,113,120,ordered_procedure,high
CAP.IDENTIFY_REVERSAL_CONDITION,10,structural_theory_drill,rule,RULE,RULE.M10.STRUCTURAL_THEORY_DRILL.RULE,unresolved_rule,121,121,literal_implication,high
CAP.IDENTIFY_REVERSAL_CONDITION,12,self_modification_guard,@block,SCHEMA,SRCFRAG.M12.SELF_MODIFICATION_GUARD,source_fragment,67,77,,
CAP.IDENTIFY_REVERSAL_CONDITION,12,self_modification_guard,ask,SCHEMA,SCHEMA.M12.SELF_MODIFICATION_GUARD.ASK,unknown_ask_role,68,75,unordered_probe,high
CAP.IDENTIFY_REVERSAL_CONDITION,12,self_modification_guard,rule,RULE,RULE.M12.SELF_MODIFICATION_GUARD.RULE,unresolved_rule,76,76,literal_implication,high
CAP.IDENTIFY_REVERSAL_CONDITION,14,simulation_gate,@block,SCHEMA,SRCFRAG.M14.SIMULATION_GATE,source_fragment,89,96,,
CAP.IDENTIFY_REVERSAL_CONDITION,14,simulation_gate,ask,SCHEMA,SCHEMA.M14.SIMULATION_GATE.ASK,unknown_ask_role,90,94,unordered_probe,high
CAP.IDENTIFY_REVERSAL_CONDITION,14,simulation_gate,rule,RULE,RULE.M14.SIMULATION_GATE.RULE,unresolved_rule,95,95,literal_implication,high
CAP.IDENTIFY_REVERSAL_CONDITION,16,media_robust_test,@block,SCHEMA,SRCFRAG.M16.MEDIA_ROBUST_TEST,source_fragment,115,127,,
CAP.IDENTIFY_REVERSAL_CONDITION,16,media_robust_test,ask,SCHEMA,SCHEMA.M16.MEDIA_ROBUST_TEST.ASK,unknown_ask_role,116,126,unordered_probe,high
CAP.IDENTIFY_REVERSAL_CONDITION,17,structure_evidence,@block,SCHEMA,SRCFRAG.M17.STRUCTURE_EVIDENCE,source_fragment,15,27,,
CAP.IDENTIFY_REVERSAL_CONDITION,17,structure_evidence,require,SCHEMA,SCHEMA.M17.STRUCTURE_EVIDENCE.REQUIRE,unknown_require_role,16,25,criteria,high
CAP.IDENTIFY_REVERSAL_CONDITION,17,structure_evidence,rule,RULE,RULE.M17.STRUCTURE_EVIDENCE.RULE,unresolved_rule,26,26,literal_implication,high
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,5,difference_remainder,@block,SCHEMA,SRCFRAG.M05.DIFFERENCE_REMAINDER,source_fragment,16,30,,
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,5,difference_remainder,require_any,SCHEMA,SCHEMA.M05.DIFFERENCE_REMAINDER.REQUIRE_ANY,unknown_require_role,17,28,criteria,high
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,5,difference_remainder,rule,RULE,RULE.M05.DIFFERENCE_REMAINDER.RULE,unresolved_rule,29,29,literal_implication,high
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,14,ontological_difference,@block,SCHEMA,SRCFRAG.M14.ONTOLOGICAL_DIFFERENCE,source_fragment,83,87,,
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,14,ontological_difference,criterion,SCHEMA,SCHEMA.M14.ONTOLOGICAL_DIFFERENCE.CRITERION,source_field,84,84,,
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,14,ontological_difference,remainder,SCHEMA,SCHEMA.M14.ONTOLOGICAL_DIFFERENCE.REMAINDER,source_field,85,85,,
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,14,ontological_difference,fence,RULE,RULE.M14.ONTOLOGICAL_DIFFERENCE.FENCE,unresolved_rule,86,86,literal_implication,high
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,18,remainder_gate,@block,SCHEMA,SRCFRAG.M18.REMAINDER_GATE,source_fragment,87,96,,
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,18,remainder_gate,require_any,SCHEMA,SCHEMA.M18.REMAINDER_GATE.REQUIRE_ANY,unknown_require_role,88,94,criteria,high
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,18,remainder_gate,fence,RULE,RULE.M18.REMAINDER_GATE.FENCE,unresolved_rule,95,95,atomic_rule,high
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,18,gravity_test,@block,SCHEMA,SRCFRAG.M18.GRAVITY_TEST,source_fragment,156,171,,
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,18,gravity_test,ask,SCHEMA,SCHEMA.M18.GRAVITY_TEST.ASK,unknown_ask_role,157,163,unordered_probe,high
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,18,gravity_test,fail,SCHEMA,SCHEMA.M18.GRAVITY_TEST.FAIL,source_field,164,169,,
CAP.DIFFERENCE_REMAINDER_ASSESSMENT,18,gravity_test,fence,RULE,RULE.M18.GRAVITY_TEST.FENCE,unresolved_rule,170,170,atomic_rule,high
CAP.DISCRIMINANT_COMPARISON,2,hypothesis_must_lose,@block,SCHEMA,SRCFRAG.M02.HYPOTHESIS_MUST_LOSE,source_fragment,82,91,,
CAP.DISCRIMINANT_COMPARISON,2,hypothesis_must_lose,require,SCHEMA,SCHEMA.M02.HYPOTHESIS_MUST_LOSE.REQUIRE,unknown_require_role,83,89,criteria,high
CAP.DISCRIMINANT_COMPARISON,2,hypothesis_must_lose,rule,RULE,RULE.M02.HYPOTHESIS_MUST_LOSE.RULE,unresolved_rule,90,90,literal_implication,high
CAP.DISCRIMINANT_COMPARISON,10,real_drill,@block,SCHEMA,SRCFRAG.M10.REAL_DRILL,source_fragment,14,29,,
CAP.DISCRIMINANT_COMPARISON,10,real_drill,require,SCHEMA,SCHEMA.M10.REAL_DRILL.REQUIRE,unknown_require_role,15,27,criteria,high
CAP.DISCRIMINANT_COMPARISON,10,real_drill,rule,RULE,RULE.M10.REAL_DRILL.RULE,unresolved_rule,28,28,literal_implication,high
CAP.DISCRIMINANT_COMPARISON,10,structural_theory_drill,@block,SCHEMA,SRCFRAG.M10.STRUCTURAL_THEORY_DRILL,source_fragment,112,122,,
CAP.DISCRIMINANT_COMPARISON,10,structural_theory_drill,run,PROCEDURE,PROC.M10.STRUCTURAL_THEORY_DRILL.RUN,run_sequence,113,120,ordered_procedure,high
CAP.DISCRIMINANT_COMPARISON,10,structural_theory_drill,rule,RULE,RULE.M10.STRUCTURAL_THEORY_DRILL.RULE,unresolved_rule,121,121,literal_implication,high
CAP.DISCRIMINANT_COMPARISON,14,simulation_gate,@block,SCHEMA,SRCFRAG.M14.SIMULATION_GATE,source_fragment,89,96,,
CAP.DISCRIMINANT_COMPARISON,14,simulation_gate,ask,SCHEMA,SCHEMA.M14.SIMULATION_GATE.ASK,unknown_ask_role,90,94,unordered_probe,high
CAP.DISCRIMINANT_COMPARISON,14,simulation_gate,rule,RULE,RULE.M14.SIMULATION_GATE.RULE,unresolved_rule,95,95,literal_implication,high
