id,family,verdict,invariants,scene,observable,failure,finding,patch
L16,D. Information,rupture,I09 I10,Les archives de décision sont chiffrées par une clé unique perdue.,restauration depuis copies indépendantes,aucune preuve de décision n'est récupérable,L'ouverture des archives n'assure pas leur récupération technique.,"Répliquer clés et preuves entre dépositaires hétérogènes, avec exercice annuel de restauration."
L17,D. Information,partiel,I03 I08,Un système de recommandation public enterre légalement l'opposition.,exposition réelle par source et accès à un ordre alternatif,la pluralité de titres ne circule pas,"La sélection est mesurée, mais aucun plancher de découvrabilité n'est fixé.","Garantir accès chronologique, choix utilisateur et audit de distribution, sans imposer une audience."
L18,D. Information,partiel,I09 I12,Un fournisseur unique maintient le logiciel ouvert mais incompréhensible.,temps de reprise par une équipe indépendante,le code est ouvert mais non opérable,Ouverture et interopérabilité ne suffisent pas à transférer la capacité.,"Exiger documentation, builds reproductibles, escrow de compétences et exercices de reprise."
L19,D. Information,robuste_sur_le_papier,I03 I04,Une agence fabrique un secret pour éviter le débat.,part de décisions secrètes confirmées extérieurement,l'auteur du secret contrôle sa légalité,"La séparation des clés, l'inspecteur et les preuves non opérationnelles répondent au centre probable.",Ajouter une date d'expiration par pièce et sanction du surclassement.
L20,D. Information,partiel,I08 I10,Une attaque injecte de fausses données cohérentes dans tous les tableaux.,écart aux capteurs et témoignages indépendants,une source commune contamine toutes les mesures,"Les audits existent, mais l'indépendance des chaînes de données n'est pas garantie.","Maintenir des capteurs, échantillons et canaux humains de familles réellement indépendantes."
L21,E. Adaptation,partiel,I08,Des entreprises apprennent exactement les seuils du régime renforcé.,densité d'observations juste sous seuil,les dommages restent durablement à seuil moins epsilon,"P-002 voit la fraude de catégorie, pas l'évitement fin du déclencheur.","Employer hystérésis, fenêtres multiples et audits hors seuil."
L22,E. Adaptation,partiel,I03 I12,Auditeur et audité alternent leurs personnels.,réseau de carrières et taux de contradictions,l'indépendance juridique cache une dépendance sociale,"Rotation et incompatibilités existent, sans cartographie des réseaux de carrière.","Publier passages, co-signatures et dépendances ; tirer une part des audits au sort."
L23,E. Adaptation,partiel,I01 I08,Le guichet unique réduit le délai en rejetant plus tôt les cas difficiles.,"délai jusqu'à usage, abandons et rejets par complexité",le délai baisse mais l'accès réel se dégrade,"P-003 distingue déjà décision et usage, mais pas le tri adverse en entrée.","Auditer les dossiers manquants, réouvertures et cas sortis du dénominateur."
L24,E. Adaptation,rupture,I12,Un conglomérat se fragmente en cent coopératives coordonnées.,"bénéficiaires, prix et décisions corrélées",les seuils juridiques ne voient plus le monopole,"La CCT suit la propriété, mais pas assez la coordination de fait entre unités séparées.","Déclencher l'anticoncentration sur dépendance, conduite coordonnée et clés communes, pas la forme sociale."
L25,E. Adaptation,partiel,I01 I03 I06,Des groupes saturent l'agenda par milliers de saisines automatisées.,temps d'accès des personnes et motifs de filtrage,la défense anti-spam devient censure discrétionnaire,"L'initiative est garantie, mais la rareté de l'attention n'a pas de protocole adverse.","Quota équitable remboursable, preuve de soutien progressive et appel humain du filtrage."
L26,F. Transition,partiel,I04 I15,"Fuite des capitaux, stocks et cadres dans la même semaine.",besoins servis et pouvoirs accumulés,la continuité exige un commandement sans extinction,P-001 teste ces chocs surtout séparément ; la composition peut changer le résultat.,Créer P-005 sur chocs corrélés et budget global de pouvoirs temporaires.
L27,F. Transition,partiel,I01 I11,Les travailleurs refusent une conversion écologique jugée injuste.,"revenu, choix réel et délai de recours",la garantie d'emploi devient affectation forcée,"Le revenu et la formation sont prévus, mais le droit de refuser une reconversion ne l'est pas clairement.",Garantir revenu-pont et plusieurs parcours sans perte punitive.
L28,F. Transition,robuste_sur_le_papier,I09 I14,Un ancien propriétaire retire une licence critique.,temps de bascule vers solution de secours,la licence donne un veto durable,La porte de capacité et la voie indépendante visent précisément cette dépendance.,Rendre obligatoire un exercice de révocation surprise avant transfert.
L29,F. Transition,partiel,I02 I11,La capacité alternative fonctionne mais double le travail invisible des aidantes.,heures compensatoires par groupe,les besoins sont servis par surcharge non reconnue,"La charge totale est mesurée, sans seuil distributif de travail compensatoire.",Interdire le passage de porte si un groupe absorbe une hausse non consentie et non compensée.
L30,F. Transition,rupture,I09 I15,Deux transitions vitales partagent les mêmes experts et pièces de secours.,ressources critiques communes et temps de récupération,chaque projet passe seul mais échoue simultanément,"Le modèle teste la continuité par service, pas la contention entre transitions.",Créer un registre de dépendances croisées et un test de portefeuille N-2.
L31,G. Urgence,robuste_sur_le_papier,I04 I13,Une pandémie exige décisions rapides pendant six mois.,"renouvellements, droits maintenus et restitution",l'urgence modifie la constitution,"Durée, renouvellement pluraliste, juge et interdiction constituante sont explicites.",Tester l'accès réel de l'opposition sous contraintes sanitaires.
L32,G. Urgence,partiel,I04 I13,Une menace faible mais permanente justifie des renouvellements sans fin.,variation de capacité malgré menace stable,l'exception devient le régime ordinaire,"L'expiration existe, mais la menace continue peut la réactiver indéfiniment.","Plafond cumulé, majorité croissante et transfert vers une loi ordinaire contrôlée."
L33,G. Urgence,partiel,I05 I09 I10,Une cyberattaque coupe communications entre clés séparées.,décisions valides hors ligne,la séparation empêche toute action sûre,La séparation réduit l'abus mais crée une dépendance de disponibilité.,Préautoriser des enveloppes locales bornées avec synchronisation et audit différés.
L34,G. Urgence,rupture,I04 I05 I12,Une force régionale refuse sa démobilisation.,"capacité civile de couper paie, logistique et ordres",la révocation est seulement juridique,"Le retour au civil est exigé, mais les leviers matériels de désobéissance ne sont pas distribués.","Séparer paie, munitions, communications et légitimité des ordres ; tester la coupure croisée."
L35,G. Urgence,partiel,I03 I05,L'inspecteur chargé d'arrêter une opération est compromis.,arrêts initiés par voies indépendantes,une personne bloque tout recours,L'inspecteur constitue lui-même un point terminal unique.,"Ajouter arrêt multi-origine, suppléance aléatoire et protection des lanceurs d'alerte."
L36,H. Justice,partiel,I01 I06,Un million de recours similaires arrive en un mois.,délai par groupe et taux d'erreur,la file rend le droit inutilisable,La porte unique ne garantit pas la capacité sous charge de masse.,"Créer recours collectif, décisions provisoires favorables et renfort automatique."
L37,H. Justice,rupture,I11 I12,Le responsable d'un dommage massif est insolvable.,capacité rendue malgré insolvabilité,l'absence de payeur annule la réparation,"Le fonds mondial existe, sans garantie générale de réparation de dernier ressort.",Créer assurance mutualisée puis récupération sur bénéficiaires et chaînes de contrôle.
L38,H. Justice,partiel,I11,Un écosystème détruit ne peut être restauré.,reste irréparable nommé et capacités compensées,une somme clôt silencieusement la dette,"La CCT reconnaît le reste, mais la représentation intergénérationnelle de la clôture est faible.","Exiger collège des porteurs de perte, gardiens écologiques et réexamen différé."
L39,H. Justice,robuste_sur_le_papier,I01 I11,Un plaignant subit des représailles locales.,"protection, revenu et logement disponibles en heures",le recours accroît le danger,"Assistance, relocalisation et défenseur extérieur sont explicitement prévus.",Tester confidentialité et droit de rester dans P-003.
L40,H. Justice,partiel,I07 I10,Deux juridictions supérieures rendent des ordres incompatibles.,temps de règle conservatoire et perte évitée,le service choisit son juge préféré,La médiation de compétence ne couvre pas complètement le conflit de décisions finales.,"Créer panel ad hoc tiré entre juridictions, avec mesure la moins irréversible."
L41,I. Résilience,rupture,I09 I15,Le réseau électrique et les paiements tombent ensemble.,"soins, eau et alimentation servis sans réseau",les secours dépendent du même système,"Les redondances sont listées par secteur, sans test d'indépendance intersectorielle.",Cartographier dépendances communes et exercer un mode îloté multi-service.
L42,I. Résilience,partiel,I02 I09,Une biorégion est isolée logistiquement pendant trente jours.,jours d'autonomie par besoin vital,les réserves existent seulement en comptabilité,La réserve est financée mais aucun niveau minimal d'autonomie n'est constitutionnalisé.,Fixer fourchettes locales publiques et réaliser des tests de tirage réel.
L43,I. Résilience,partiel,I09 I12,Une voie de secours appartient au même sous-traitant que la voie principale.,"indépendance technique, juridique et géographique",la redondance partage une cause de panne,La voie indépendante est exigée sans critère d'indépendance totale.,"Qualifier l'indépendance sur propriété, personnel, énergie, logiciel, route et juridiction."
L44,I. Résilience,partiel,I01 I07,Une crise climatique déplace 20 % d'une population en trois mois.,continuité des droits et capacité d'accueil,les communes suspendent la résidence factuelle,"Les droits suivent la personne, mais le financement automatique de la charge d'accueil est absent.","Déclencher péréquation et droits politiques progressifs sur présence, sans délai discrétionnaire."
L45,I. Résilience,robuste_sur_le_papier,I09,Un service vital perd son équipe dirigeante entière.,reprise par suppléants et documentation,la continuité dépend de personnes irremplaçables,P-001 traite la perte d'un cadre et exige la cartographie des compétences.,Étendre au scénario de perte d'équipe complète et transmission hors organisation.
L46,J. Constitution,robuste_sur_le_papier,I13,Une majorité élue veut abolir l'opposition et les recours.,capacité à changer la politique sans abolir le sujet de droit,une majorité ordinaire neutralise les contre-pouvoirs,"Les droits, l'opposition et l'interdiction de révision d'urgence forment déjà un noyau.",Clarifier les invariants non supprimables et la procédure constituante hors urgence.
L47,J. Constitution,partiel,I13 I14,Le noyau non négociable empêche une réforme économique pourtant populaire.,part des politiques réellement ouvertes,le juge transforme l'orientation en dogme,La frontière entre droits invariants et instruments écosocialistes reste floue.,"Sanctuariser les capacités et limites, pas une forme unique de propriété ou d'allocation."
L48,J. Constitution,rupture,I06 I15,Tous les modules de contrôle renforcé s'activent pendant une polycrise.,"charge totale, files, droits et délai d'action",les protections paralysent ou sont désactivées sans trace,Le budget de complexité est local aux procédures ; il manque une enveloppe de charge systémique.,"Créer budget de charge constitutionnelle, ordre de délestage et noyau minimal jamais suspendu."
L49,J. Constitution,partiel,I03 I06,Le service contradicteur devient une caste qui fabrique des objections.,"erreurs uniques détectées, décisions corrigées et coût",la contradiction n'ajoute plus d'information,"La réduction de périmètre est prévue, mais peut être contrôlée par les acteurs qu'il gêne.","Évaluation croisée indépendante, tirage d'une part des enquêtes et condition de remplacement plutôt que suppression."
L50,J. Constitution,partiel,I14,La CCT réussit ses propres tests parce qu'elle en fixe les cas et seuils.,résultats sur cas externes et rivaux symétriques,aucun résultat admissible ne peut faire perdre la CCT,"Les échecs de méthode sont publiés, mais la famille de tests reste conçue en interne.","Ouvrir un registre de défis externes, geler les seuils avant test et financer des équipes adverses."
